Date,SP,Export Meter Advance,Export LLF,Import Meter Advance,Import LLF,TLM,Export Settlement Volume,Import Settlement Volume,SRMC,SRMCe,Availability Flag,DTO Period,APX Hourly,APX HH,SSP,BSUoS Price,AAHEDC Price,GDoUS Price,DUoS Price,Day-ahead Hourly Sell Volume,Day-ahead Hourly Buy Volume,Day-ahead HH Sell Volume,Day-ahead HH Buy Volume,Intraday Sell Volume,Intraday Sell WAP,Intraday Buy Volume,Intraday Buy WAP,Buyback Volume,Buyback WAP,System Price Sell Volume,System Price Buy Volume,BM Offer Volume,BM Offer Price,BM Bid Volume,BM Bid Price,Day-ahead Hourly Revenue,Day-ahead HH Revenue,Intraday Sell Revenue,Intraday Buy Revenue,Buyback Revenue,System Price Revenue,BM Offer Revenue,BM Bid Revenue,Forward Trade Fees,Buyback Fees,Profit Share,DTO Imbalance Volume,DTO Imbalance Revenue,DTO Imbalance Share,Non-delivery,Non DTO Export Volume,Non DTO Import Volume,Non DTO Export Revenue,Non DTO Import Revenue,BSUoS Export,AAHEDC Export,GDUoS,BSUoS Import,AAHEDC Import,DUoS,RO,FIT,CM,CFD,CCL,Total,Export Fixed Charge,Export Capacity Charge,Import Fixed Charge,Import Capacity Charge
01/08/2020,15,0,1.072,0,1.072,1.0248047,0,0,0,0,UNAVAILABLE,FALSE,27.48,24,40.5,4.21887,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,16,0,1.076,0,1.076,1.0237561,0,0,0,0,UNAVAILABLE,FALSE,27.48,32,20,3.61568,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,17,0,1.076,0,1.076,1.022643,0,0,0,0,UNAVAILABLE,FALSE,30.53,27.2,15.58,3.26808,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,18,0,1.076,0,1.076,1.0228326,0,0,0,0,UNAVAILABLE,FALSE,30.53,31.8,43,3.68765,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,19,0,1.076,0,1.076,1.0226701,0,0,0,0,UNAVAILABLE,FALSE,36.41,34,2,2.81985,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,20,0,1.076,0,1.076,1.022445,0,0,0,0,UNAVAILABLE,FALSE,36.41,35.2,24.15,3.2098,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,21,0,1.076,0,1.076,1.0225779,0,0,0,0,UNAVAILABLE,FALSE,36,36.4,43,3.36924,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,22,0,1.076,0,1.076,1.0233556,0,0,0,0,UNAVAILABLE,FALSE,36,36,27.57,3.18106,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,23,0,1.076,0,1.076,1.0233166,0,0,0,0,UNAVAILABLE,FALSE,35.8,35.4,5.25,2.85494,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,24,0,1.076,0,1.076,1.023516,0,0,0,0,UNAVAILABLE,FALSE,35.8,37.4,10,3.04669,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,25,0,1.076,0,1.076,1.0234497,0,0,0,0,UNAVAILABLE,FALSE,33.6,36,13,3.0629,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,26,0,1.076,0,1.076,1.024132,0,0,0,0,UNAVAILABLE,FALSE,33.6,34.6,19,3.29995,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,27,0,1.076,0,1.076,1.0246049,0,0,0,0,UNAVAILABLE,FALSE,28.3,33,44,3.46587,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,28,0,1.076,0,1.076,1.0246585,0,0,0,0,UNAVAILABLE,FALSE,28.3,25,15.3,3.41867,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,29,0,1.076,0,1.076,1.0250267,0,0,0,0,UNAVAILABLE,FALSE,28.04,29.8,45,3.39315,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,30,0,1.076,0,1.076,1.025192,0,0,0,0,UNAVAILABLE,FALSE,28.04,27,45,3.23353,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
